,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-1.74400e+00,-9.76e+00,1.20e-02,-2.99e-01,-9.80e+00, 
-1.74000e+00,-9.82e+00,1.40e-02,-2.97e-01,-9.76e+00, 
-1.73600e+00,-9.78e+00,1.40e-02,-2.96e-01,-9.80e+00, 
-1.73200e+00,-9.82e+00,1.20e-02,-2.98e-01,-9.76e+00, 
-1.72800e+00,-9.78e+00,1.40e-02,-2.96e-01,-9.80e+00, 
-1.72400e+00,-9.82e+00,1.20e-02,-2.98e-01,-9.76e+00, 
-1.72000e+00,-9.78e+00,1.20e-02,-2.96e-01,-9.80e+00, 
-1.71600e+00,-9.82e+00,1.60e-02,-2.98e-01,-9.76e+00, 
-1.71200e+00,-9.78e+00,1.40e-02,-2.97e-01,-9.80e+00, 
-1.70800e+00,-9.82e+00,1.80e-02,-2.98e-01,-9.76e+00, 
-1.70400e+00,-9.82e+00,1.80e-02,-2.98e-01,-9.80e+00, 
-1.70000e+00,-9.76e+00,2.40e-02,-2.99e-01,-9.72e+00, 
-1.69600e+00,-9.78e+00,2.40e-02,-2.99e-01,-9.80e+00, 
-1.69200e+00,-9.82e+00,2.80e-02,-3.02e-01,-9.76e+00, 
-1.68800e+00,-9.82e+00,2.60e-02,-3.02e-01,-9.76e+00, 
-1.68400e+00,-9.78e+00,2.20e-02,-3.04e-01,-9.80e+00, 
-1.68000e+00,-9.78e+00,2.40e-02,-3.03e-01,-9.76e+00, 
-1.67600e+00,-9.82e+00,2.60e-02,-3.05e-01,-9.80e+00, 
-1.67200e+00,-9.78e+00,2.60e-02,-3.05e-01,-9.80e+00, 
-1.66800e+00,-9.82e+00,3.40e-02,-3.07e-01,-9.72e+00, 
-1.66400e+00,-9.84e+00,3.40e-02,-3.06e-01,-9.76e+00, 
-1.66000e+00,-9.76e+00,6.40e-02,-3.10e-01,-9.72e+00, 
-1.65600e+00,-9.82e+00,6.80e-02,-3.10e-01,-9.72e+00, 
-1.65200e+00,-9.76e+00,1.54e-01,-3.14e-01,-9.64e+00, 
-1.64800e+00,-9.76e+00,1.58e-01,-3.14e-01,-9.60e+00, 
-1.64400e+00,-9.82e+00,1.10e-01,-3.16e-01,-9.68e+00, 
-1.64000e+00,-9.76e+00,1.08e-01,-3.15e-01,-9.68e+00, 
-1.63600e+00,-9.82e+00,9.40e-02,-3.18e-01,-9.72e+00, 
-1.63200e+00,-9.78e+00,1.10e-01,-3.17e-01,-9.72e+00, 
-1.62800e+00,-9.82e+00,1.62e-01,-3.19e-01,-9.60e+00, 
-1.62400e+00,-9.76e+00,1.62e-01,-3.19e-01,-9.60e+00, 
-1.62000e+00,-9.80e+00,8.20e-02,-3.21e-01,-9.72e+00, 
-1.61600e+00,-9.76e+00,7.60e-02,-3.21e-01,-9.68e+00, 
-1.61200e+00,-9.82e+00,4.00e-02,-3.22e-01,-9.76e+00, 
-1.60800e+00,-9.78e+00,4.00e-02,-3.22e-01,-9.72e+00, 
-1.60400e+00,-9.82e+00,2.80e-02,-3.22e-01,-9.80e+00, 
-1.60000e+00,-9.82e+00,3.00e-02,-3.22e-01,-9.80e+00, 
-1.59600e+00,-9.76e+00,2.40e-02,-3.22e-01,-9.72e+00, 
-1.59200e+00,-9.78e+00,2.60e-02,-3.22e-01,-9.80e+00, 
-1.58800e+00,-9.82e+00,2.20e-02,-3.20e-01,-9.72e+00, 
-1.58400e+00,-9.76e+00,2.20e-02,-3.22e-01,-9.80e+00, 
-1.58000e+00,-9.82e+00,2.00e-02,-3.18e-01,-9.72e+00, 
-1.57600e+00,-9.80e+00,2.00e-02,-3.19e-01,-9.80e+00, 
-1.57200e+00,-9.76e+00,1.80e-02,-3.16e-01,-9.72e+00, 
-1.56800e+00,-9.76e+00,1.80e-02,-3.16e-01,-9.72e+00, 
-1.56400e+00,-9.82e+00,1.80e-02,-3.15e-01,-9.80e+00, 
-1.56000e+00,-9.80e+00,1.80e-02,-3.15e-01,-9.80e+00, 
-1.55600e+00,-9.76e+00,1.60e-02,-3.14e-01,-9.72e+00, 
-1.55200e+00,-9.80e+00,1.80e-02,-3.14e-01,-9.76e+00, 
-1.54800e+00,-9.76e+00,1.40e-02,-3.10e-01,-9.80e+00, 
-1.54400e+00,-9.76e+00,1.60e-02,-3.10e-01,-9.76e+00, 
-1.54000e+00,-9.80e+00,1.40e-02,-3.06e-01,-9.80e+00, 
-1.53600e+00,-9.80e+00,1.40e-02,-3.05e-01,-9.76e+00, 
-1.53200e+00,-9.76e+00,1.60e-02,-3.03e-01,-9.80e+00, 
-1.52800e+00,-9.80e+00,1.40e-02,-3.03e-01,-9.76e+00, 
-1.52400e+00,-9.76e+00,1.20e-02,-3.02e-01,-9.72e+00, 
-1.52000e+00,-9.76e+00,1.40e-02,-3.02e-01,-9.80e+00, 
-1.51600e+00,-9.78e+00,1.20e-02,-3.00e-01,-9.72e+00, 
-1.51200e+00,-9.76e+00,1.40e-02,-3.01e-01,-9.80e+00, 
-1.50800e+00,-9.78e+00,1.20e-02,-2.98e-01,-9.72e+00, 
-1.50400e+00,-9.78e+00,1.20e-02,-2.98e-01,-9.72e+00, 
-1.50000e+00,-9.74e+00,1.40e-02,-2.96e-01,-9.80e+00, 
-1.49600e+00,-9.76e+00,1.40e-02,-2.97e-01,-9.76e+00, 
-1.49200e+00,-9.74e+00,1.20e-02,-2.96e-01,-9.72e+00, 
-1.48800e+00,-9.76e+00,1.20e-02,-2.96e-01,-9.76e+00, 
-1.48400e+00,-9.72e+00,1.40e-02,-2.98e-01,-9.72e+00, 
-1.48000e+00,-9.76e+00,1.20e-02,-2.97e-01,-9.76e+00, 
-1.47600e+00,-9.72e+00,1.40e-02,-2.98e-01,-9.68e+00, 
-1.47200e+00,-9.76e+00,1.40e-02,-2.98e-01,-9.76e+00, 
-1.46800e+00,-9.72e+00,1.20e-02,-2.99e-01,-9.68e+00, 
-1.46400e+00,-9.76e+00,1.40e-02,-2.99e-01,-9.72e+00, 
-1.46000e+00,-9.72e+00,1.40e-02,-3.01e-01,-9.68e+00, 
-1.45600e+00,-9.76e+00,1.60e-02,-3.01e-01,-9.72e+00, 
-1.45200e+00,-9.70e+00,1.40e-02,-3.02e-01,-9.68e+00, 
-1.44800e+00,-9.74e+00,1.60e-02,-3.02e-01,-9.72e+00, 
-1.44400e+00,-9.68e+00,1.40e-02,-3.05e-01,-9.68e+00, 
-1.44000e+00,-9.72e+00,1.40e-02,-3.05e-01,-9.68e+00, 
-1.43600e+00,-9.68e+00,1.80e-02,-3.08e-01,-9.72e+00, 
-1.43200e+00,-9.68e+00,1.60e-02,-3.08e-01,-9.68e+00, 
-1.42800e+00,-9.72e+00,1.80e-02,-3.10e-01,-9.68e+00, 
-1.42400e+00,-9.68e+00,1.60e-02,-3.10e-01,-9.68e+00, 
-1.42000e+00,-9.70e+00,1.80e-02,-3.14e-01,-9.68e+00, 
-1.41600e+00,-9.68e+00,1.60e-02,-3.14e-01,-9.68e+00, 
-1.41200e+00,-9.64e+00,1.80e-02,-3.16e-01,-9.64e+00, 
-1.40800e+00,-9.66e+00,1.80e-02,-3.16e-01,-9.68e+00, 
-1.40400e+00,-9.68e+00,1.80e-02,-3.19e-01,-9.60e+00, 
-1.40000e+00,-9.68e+00,1.80e-02,-3.18e-01,-9.68e+00, 
-1.39600e+00,-9.64e+00,2.00e-02,-3.21e-01,-9.60e+00, 
-1.39200e+00,-9.66e+00,1.80e-02,-3.20e-01,-9.68e+00, 
-1.38800e+00,-9.62e+00,2.00e-02,-3.22e-01,-9.60e+00, 
-1.38400e+00,-9.66e+00,1.80e-02,-3.22e-01,-9.64e+00, 
-1.38000e+00,-9.62e+00,2.00e-02,-3.22e-01,-9.60e+00, 
-1.37600e+00,-9.64e+00,1.80e-02,-3.22e-01,-9.60e+00, 
-1.37200e+00,-9.62e+00,2.20e-02,-3.22e-01,-9.64e+00, 
-1.36800e+00,-9.64e+00,1.80e-02,-3.22e-01,-9.64e+00, 
-1.36400e+00,-9.60e+00,2.20e-02,-3.21e-01,-9.60e+00, 
-1.36000e+00,-9.62e+00,2.20e-02,-3.21e-01,-9.56e+00, 
-1.35600e+00,-9.64e+00,2.00e-02,-3.19e-01,-9.64e+00, 
-1.35200e+00,-9.62e+00,2.40e-02,-3.19e-01,-9.64e+00, 
-1.34800e+00,-9.60e+00,2.00e-02,-3.15e-01,-9.56e+00, 
-1.34400e+00,-9.62e+00,2.20e-02,-3.15e-01,-9.60e+00, 
-1.34000e+00,-9.60e+00,2.40e-02,-3.10e-01,-9.56e+00, 
-1.33600e+00,-9.62e+00,2.20e-02,-3.11e-01,-9.60e+00, 
-1.33200e+00,-9.58e+00,2.40e-02,-3.09e-01,-9.56e+00, 
-1.32800e+00,-9.62e+00,2.40e-02,-3.09e-01,-9.60e+00, 
-1.32400e+00,-9.58e+00,2.20e-02,-3.08e-01,-9.52e+00, 
-1.32000e+00,-9.62e+00,2.40e-02,-3.07e-01,-9.60e+00, 
-1.31600e+00,-9.56e+00,2.60e-02,-3.03e-01,-9.52e+00, 
-1.31200e+00,-9.62e+00,2.60e-02,-3.03e-01,-9.52e+00, 
-1.30800e+00,-9.56e+00,2.40e-02,-2.99e-01,-9.60e+00, 
-1.30400e+00,-9.60e+00,2.60e-02,-3.00e-01,-9.56e+00, 
-1.30000e+00,-9.56e+00,2.60e-02,-2.98e-01,-9.52e+00, 
-1.29600e+00,-9.56e+00,2.60e-02,-2.98e-01,-9.56e+00, 
-1.29200e+00,-9.60e+00,2.60e-02,-2.97e-01,-9.52e+00, 
-1.28800e+00,-9.56e+00,2.60e-02,-2.98e-01,-9.56e+00, 
-1.28400e+00,-9.60e+00,2.80e-02,-2.96e-01,-9.52e+00, 
-1.28000e+00,-9.56e+00,2.60e-02,-2.96e-01,-9.52e+00, 
-1.27600e+00,-9.60e+00,2.80e-02,-2.98e-01,-9.56e+00, 
-1.27200e+00,-9.60e+00,2.60e-02,-2.97e-01,-9.52e+00, 
-1.26800e+00,-9.56e+00,2.80e-02,-2.98e-01,-9.56e+00, 
-1.26400e+00,-9.56e+00,2.60e-02,-2.98e-01,-9.52e+00, 
-1.26000e+00,-9.60e+00,2.80e-02,-3.00e-01,-9.60e+00, 
-1.25600e+00,-9.58e+00,2.60e-02,-2.99e-01,-9.52e+00, 
-1.25200e+00,-9.54e+00,2.80e-02,-3.01e-01,-9.56e+00, 
-1.24800e+00,-9.54e+00,2.60e-02,-3.01e-01,-9.52e+00, 
-1.24400e+00,-9.60e+00,3.00e-02,-3.02e-01,-9.56e+00, 
-1.24000e+00,-9.56e+00,3.00e-02,-3.02e-01,-9.56e+00, 
-1.23600e+00,-9.60e+00,2.60e-02,-3.05e-01,-9.52e+00, 
-1.23200e+00,-9.58e+00,2.80e-02,-3.05e-01,-9.52e+00, 
-1.22800e+00,-9.56e+00,3.00e-02,-3.10e-01,-9.56e+00, 
-1.22400e+00,-9.60e+00,2.80e-02,-3.08e-01,-9.52e+00, 
-1.22000e+00,-9.56e+00,3.20e-02,-3.12e-01,-9.56e+00, 
