,CH3,CH4
Second,Volt,Volt
-2.05520e-01,2.89e-01,-1.39e-02, 
-2.05440e-01,2.89e-01,-1.39e-02, 
-2.05360e-01,2.89e-01,-1.39e-02, 
-2.05280e-01,2.89e-01,-1.39e-02, 
-2.05200e-01,2.89e-01,-1.39e-02, 
-2.05120e-01,2.89e-01,-1.39e-02, 
-2.05040e-01,2.90e-01,-1.39e-02, 
-2.04960e-01,2.89e-01,-1.39e-02, 
-2.04880e-01,2.90e-01,-1.39e-02, 
-2.04800e-01,2.90e-01,-1.39e-02, 
-2.04720e-01,2.91e-01,-1.39e-02, 
-2.04640e-01,2.91e-01,-1.39e-02, 
-2.04560e-01,2.91e-01,-1.39e-02, 
-2.04480e-01,2.91e-01,-1.39e-02, 
-2.04400e-01,2.92e-01,-1.39e-02, 
-2.04320e-01,2.92e-01,-1.39e-02, 
-2.04240e-01,2.92e-01,-1.39e-02, 
-2.04160e-01,2.93e-01,-1.39e-02, 
-2.04080e-01,2.93e-01,-1.39e-02, 
-2.04000e-01,2.93e-01,-1.39e-02, 
-2.03920e-01,2.93e-01,-1.39e-02, 
-2.03840e-01,2.94e-01,-1.39e-02, 
-2.03760e-01,2.94e-01,-1.39e-02, 
-2.03680e-01,2.93e-01,-1.39e-02, 
-2.03600e-01,2.93e-01,-1.39e-02, 
-2.03520e-01,2.94e-01,-1.39e-02, 
-2.03440e-01,2.94e-01,-1.26e-02, 
-2.03360e-01,2.94e-01,-1.39e-02, 
-2.03280e-01,2.94e-01,-1.39e-02, 
-2.03200e-01,2.95e-01,-1.39e-02, 
-2.03120e-01,2.94e-01,-1.39e-02, 
-2.03040e-01,2.94e-01,-1.39e-02, 
-2.02960e-01,2.94e-01,-1.39e-02, 
-2.02880e-01,2.95e-01,-1.39e-02, 
-2.02800e-01,2.94e-01,-1.39e-02, 
-2.02720e-01,2.94e-01,-1.39e-02, 
-2.02640e-01,2.94e-01,-1.39e-02, 
-2.02560e-01,2.94e-01,-1.39e-02, 
-2.02480e-01,2.94e-01,-1.39e-02, 
-2.02400e-01,2.94e-01,-1.39e-02, 
-2.02320e-01,2.94e-01,-1.39e-02, 
-2.02240e-01,2.94e-01,-1.39e-02, 
-2.02160e-01,2.94e-01,-1.39e-02, 
-2.02080e-01,2.94e-01,-1.39e-02, 
