,CH3
Second,Volt
-1.33609e+00,-3.15e-01, 
-1.33536e+00,-3.15e-01, 
-1.33463e+00,-3.15e-01, 
-1.33390e+00,-3.15e-01, 
-1.33316e+00,-3.15e-01, 
-1.33243e+00,-3.15e-01, 
-1.33170e+00,-3.16e-01, 
-1.33097e+00,-3.16e-01, 
-1.33023e+00,-3.17e-01, 
-1.32950e+00,-3.17e-01, 
-1.32877e+00,-3.17e-01, 
-1.32804e+00,-3.18e-01, 
-1.32730e+00,-3.17e-01, 
-1.32657e+00,-3.18e-01, 
-1.32584e+00,-3.18e-01, 
-1.32511e+00,-3.18e-01, 
-1.32438e+00,-3.18e-01, 
-1.32364e+00,-3.19e-01, 
-1.32291e+00,-3.19e-01, 
-1.32218e+00,-3.20e-01, 
-1.32145e+00,-3.21e-01, 
-1.32071e+00,-3.21e-01, 
-1.31998e+00,-3.21e-01, 
-1.31925e+00,-3.21e-01, 
-1.31852e+00,-3.22e-01, 
-1.31778e+00,-3.22e-01, 
-1.31705e+00,-3.23e-01, 
-1.31632e+00,-3.23e-01, 
-1.31559e+00,-3.23e-01, 
-1.31485e+00,-3.24e-01, 
-1.31412e+00,-3.23e-01, 
-1.31339e+00,-3.24e-01, 
-1.31266e+00,-3.25e-01, 
-1.31192e+00,-3.24e-01, 
-1.31119e+00,-3.24e-01, 
-1.31046e+00,-3.25e-01, 
-1.30973e+00,-3.26e-01, 
-1.30899e+00,-3.25e-01, 
-1.30826e+00,-3.25e-01, 
-1.30753e+00,-3.26e-01, 
-1.30680e+00,-3.26e-01, 
-1.30606e+00,-3.26e-01, 
-1.30533e+00,-3.26e-01, 
-1.30460e+00,-3.26e-01, 
-1.30387e+00,-3.27e-01, 
-1.30313e+00,-3.26e-01, 
